S2,TC,Reference Folder,Sample Folder
0.0631,9.014,wu_2005,100V
0.0703,8.475,wu_2005,60V
0.06935,8.4835,wu_2005,90V
0.0384,9.2,wu_1979,tc9.2
0.0368,9.3,wu_1979,tc9.30
0.0446,8.8,wu_1979,tc8.8
0.0559,9.4,bose_2007,60nm
0.0891,7.2,,bose_2007,18nm
0.1088,5.9,,bose_2007,11nm
0.2112,-250,bose_2007,5nm
