S2,TC_ON,Reference Folder,Sample Folder
0.2528,12,maheshwari_2016,12K
0.2572,9.638,isik_2016,se1.2
0.1396,8.31,isik_2016,se0.98
0.3174,9.04,onar_2015,F1
0.3195,8.95,onar_2015,F6
0.198,-21,tsukada_2011,100C
0.2648,-60,tsukada_2011,200C
0.3275,-92,tsukada_2011,300C
0.2706,3,tsukada_2011,400C
0.1512,6,tsukada_2011,450C
0.31805,8,tsukada_2011,500C
0.3241,5,tsukada_2011,550C
0.5758,-230,tsukada_2001,600C
