S2,TC,Reference Folder,Sample Folder
0.5501,12,yates_2006,tc12
0.1250,38,yates_2006,tc38
0.1251,38,yates_2003,tc38
0.5396,12.5,yates_2003,tc125
0.4729,16.7,yates_2003,tc167
0.2339,31.5,yates_2003,tc315
0.2084,32.8,wang_2009,tc32.8
0.1513,36.5,wang_2009,tc365
0.1000,39.5,wang_2009,tc395
0.0830,40.5,wang_2009,tc405
0.1122,39,nagamatsu_2001,tc39
0.1369,37.5,chen_2008,mg_0.98
0.1367,37.5,chen_2008,mg_0.99
0.1369,37.5,chen_2008,mg_1.0
0.1367,37.5,chen_2008,mg_1.1
0.1366,37.5,chen_2008,mg_1.2
0.1241,38.0,chen_2008,mg_1.5
0.1369,37.5,chen_2008,mg_09.5
