S2,TC_ON,Reference Folder,Sample Folder
0.1685,19.5,mase_1986,tc19.2k
0.1959,22.2,mase_1986,tc22.2k
0.19925,22.5,mase_1986,tc22.5k
0.1653,19.2,akinaga_1987,tc19.2k
