0,230.111
1,230.963
2,229.035
3,223.765
4,221.799
5,223.211
6,219.619
7,215.584
8,213.012
9,209.694
10,207.331
11,206.248
12,203.381
13,199.591
14,194.870
15,191.123
16,190.622
17,191.042
18,188.004
19,182.597
20,174.769
21,169.612
22,171.985
23,172.511
24,169.285
25,166.219
26,162.917
27,159.231
28,161.134
29,161.164
30,159.164
31,159.480
32,161.221
33,162.169
34,160.597
35,164.388
36,170.112
37,173.010
38,173.000
39,174.120
40,178.655
41,183.590
42,183.669
43,183.268
44,183.968
45,183.657
46,183.160
47,187.948
48,190.309
49,188.199
50,189.430
51,189.886
52,187.534
53,183.260
54,183.437
55,184.500
56,187.191
57,186.256
58,184.176
59,182.401
60,178.732
61,174.532
62,173.074
63,173.088
64,171.963
65,170.162
66,168.144
67,166.696
68,163.545
69,158.020
70,156.631
71,156.970
72,156.386
73,155.393
74,155.507
75,157.011
76,158.017
77,159.417
78,168.998
79,181.281
80,189.597
81,197.789
82,206.127
83,210.574
84,208.928
85,208.998
86,204.128
87,186.322
88,153.819
89,122.092
90,101.341
91,91.271
92,83.208
93,78.032
94,74.481
95,72.109
96,70.239
97,68.106
98,66.572
99,65.410
100,64.690
101,64.000
102,64.000
103,63.531
104,62.950
105,63.000
106,63.000
107,63.000
108,63.519
109,63.954
110,64.000
111,64.000
112,64.016
113,64.000
