S2,TC,Reference Folder,Sample Folder
0.3551,89.7,camerlingo_2002,as_grown
0.3254,79,camerlingo_2002,220C
0.1179,2,camerlingo_2002,240C
0.0907,-8.07,camerlingo_2002,300C
0.3394,84.2,camerlingo_2002,200C
0.3492,88,camerlingo_2002,152C
